model,llc_value
checkpoints/sort_no_decay_l1_activation.pth_154,1.1895334
checkpoints/sort_no_decay_l1_activation.pth_155,0.18055424
checkpoints/sort_no_decay_l1_activation.pth_156,2.2803974
checkpoints/sort_no_decay_l1_activation.pth_157,0.8944344
checkpoints/sort_no_decay_l1_activation.pth_158,0.990691
checkpoints/sort_no_decay_l1_activation.pth_159,0.8549383
checkpoints/sort_no_decay_l1_activation.pth_160,1.468569
checkpoints/sort_no_decay_l1_activation.pth_161,0.816723
checkpoints/sort_no_decay_l1_activation.pth_162,1.7285514
checkpoints/sort_no_decay_l1_activation.pth_163,1.9884742
checkpoints/sort_no_decay_l1_activation.pth_164,1.4669993
checkpoints/sort_no_decay_l1_activation.pth_165,2.847625
checkpoints/sort_no_decay_l1_activation.pth_166,1.9480641
checkpoints/sort_no_decay_l1_activation.pth_167,1.3449962
checkpoints/sort_no_decay_l1_activation.pth_168,1.0450115
checkpoints/sort_no_decay_l1_activation.pth_169,2.0120447
checkpoints/sort_no_decay_l1_activation.pth_170,0.8657715
checkpoints/sort_no_decay_l1_activation.pth_171,1.8617429
checkpoints/sort_no_decay_l1_activation.pth_172,1.3059038
checkpoints/sort_no_decay_l1_activation.pth_173,2.0542376
checkpoints/sort_no_decay_l1_activation.pth_174,1.7644022
checkpoints/sort_no_decay_l1_activation.pth_175,1.6902965
checkpoints/sort_no_decay_l1_activation.pth_176,1.0894425
checkpoints/sort_no_decay_l1_activation.pth_177,1.2402402
checkpoints/sort_no_decay_l1_activation.pth_178,0.9904803
checkpoints/sort_no_decay_l1_activation.pth_179,1.5800915
checkpoints/sort_no_decay_l1_activation.pth_180,1.3832633
checkpoints/sort_no_decay_l1_activation.pth_181,1.7982656
checkpoints/sort_no_decay_l1_activation.pth_182,1.5058777
checkpoints/sort_no_decay_l1_activation.pth_183,0.7338034
checkpoints/sort_no_decay_l1_activation.pth_184,1.7633697
checkpoints/sort_no_decay_l1_activation.pth_185,0.8143758
checkpoints/sort_no_decay_l1_activation.pth_186,1.8253947
checkpoints/sort_no_decay_l1_activation.pth_187,1.5822812
checkpoints/sort_no_decay_l1_activation.pth_188,1.0391912
checkpoints/sort_no_decay_l1_activation.pth_189,1.2138873
checkpoints/sort_no_decay_l1_activation.pth_190,1.57053
checkpoints/sort_no_decay_l1_activation.pth_191,0.8138465
checkpoints/sort_no_decay_l1_activation.pth_192,0.50613075
checkpoints/sort_no_decay_l1_activation.pth_193,1.8816819
checkpoints/sort_no_decay_l1_activation.pth_194,1.1359442
checkpoints/sort_no_decay_l1_activation.pth_195,1.0000402
checkpoints/sort_no_decay_l1_activation.pth_196,0.8947884
checkpoints/sort_no_decay_l1_activation.pth_197,1.7892216
checkpoints/sort_no_decay_l1_activation.pth_198,0.2974809
checkpoints/sort_no_decay_l1_activation.pth_199,1.1661035
checkpoints/sort_no_decay_l1_activation.pth_200,1.1572243
checkpoints/sort_no_decay_l1_activation.pth_201,0.957319
checkpoints/sort_no_decay_l1_activation.pth_202,0.8373291
checkpoints/sort_no_decay_l1_activation.pth_203,0.094916746
checkpoints/sort_no_decay_l1_activation.pth_204,0.6967326
checkpoints/sort_no_decay_l1_activation.pth_205,0.5628431
checkpoints/sort_no_decay_l1_activation.pth_206,0.48456502
checkpoints/sort_no_decay_l1_activation.pth_207,0.6821213
checkpoints/sort_no_decay_l1_activation.pth_208,0.7551506
checkpoints/sort_no_decay_l1_activation.pth_209,1.5334966
checkpoints/sort_no_decay_l1_activation.pth_210,1.9163386
checkpoints/sort_no_decay_l1_activation.pth_211,1.8275555
checkpoints/sort_no_decay_l1_activation.pth_212,1.4699365
checkpoints/sort_no_decay_l1_activation.pth_213,0.73856574
checkpoints/sort_no_decay_l1_activation.pth_214,1.8354355
checkpoints/sort_no_decay_l1_activation.pth_215,0.8737574
checkpoints/sort_no_decay_l1_activation.pth_216,2.1564054
checkpoints/sort_no_decay_l1_activation.pth_217,1.4243177
checkpoints/sort_no_decay_l1_activation.pth_218,1.4586105
checkpoints/sort_no_decay_l1_activation.pth_219,1.0440509
checkpoints/sort_no_decay_l1_activation.pth_220,0.3462079
checkpoints/sort_no_decay_l1_activation.pth_221,1.1635165
checkpoints/sort_no_decay_l1_activation.pth_222,1.5803429
checkpoints/sort_no_decay_l1_activation.pth_223,0.6135916
checkpoints/sort_no_decay_l1_activation.pth_224,0.88909197
checkpoints/sort_no_decay_l1_activation.pth_225,1.5365927
checkpoints/sort_no_decay_l1_activation.pth_226,1.0830415
checkpoints/sort_no_decay_l1_activation.pth_227,0.531315
checkpoints/sort_no_decay_l1_activation.pth_228,1.1974077
checkpoints/sort_no_decay_l1_activation.pth_229,0.7423896
checkpoints/sort_no_decay_l1_activation.pth_230,0.18916634
checkpoints/sort_no_decay_l1_activation.pth_231,0.28216252
checkpoints/sort_no_decay_l1_activation.pth_232,-0.3045046
checkpoints/sort_no_decay_l1_activation.pth_233,0.7352043
checkpoints/sort_no_decay_l1_activation.pth_234,1.556598
checkpoints/sort_no_decay_l1_activation.pth_235,0.5859335
checkpoints/sort_no_decay_l1_activation.pth_236,0.94277
checkpoints/sort_no_decay_l1_activation.pth_237,-1.1920643
checkpoints/sort_no_decay_l1_activation.pth_238,0.8544574
checkpoints/sort_no_decay_l1_activation.pth_239,1.292475
checkpoints/sort_no_decay_l1_activation.pth_240,-0.49468228
checkpoints/sort_no_decay_l1_activation.pth_241,0.5721612
checkpoints/sort_no_decay_l1_activation.pth_242,1.2958503
checkpoints/sort_no_decay_l1_activation.pth_243,1.5696616
checkpoints/sort_no_decay_l1_activation.pth_244,-0.09602629
checkpoints/sort_no_decay_l1_activation.pth_245,0.5531576
checkpoints/sort_no_decay_l1_activation.pth_246,1.190943
checkpoints/sort_no_decay_l1_activation.pth_247,0.1652394
checkpoints/sort_no_decay_l1_activation.pth_248,-0.33441627
checkpoints/sort_no_decay_l1_activation.pth_249,1.581368
checkpoints/sort_no_decay_l1_activation.pth_250,-1.3504691
checkpoints/sort_no_decay_l1_activation.pth_251,0.9661124
checkpoints/sort_no_decay_l1_activation.pth_252,0.6975979
checkpoints/sort_no_decay_l1_activation.pth_253,-1.237447
checkpoints/sort_no_decay_l1_activation.pth_254,1.5701538
checkpoints/sort_no_decay_l1_activation.pth_255,1.0667042
checkpoints/sort_no_decay_l1_activation.pth_256,0.2664295
checkpoints/sort_no_decay_l1_activation.pth_257,-0.49732235
checkpoints/sort_no_decay_l1_activation.pth_258,-0.024501882
checkpoints/sort_no_decay_l1_activation.pth_259,0.39312428
checkpoints/sort_no_decay_l1_activation.pth_260,0.64750427
checkpoints/sort_no_decay_l1_activation.pth_261,0.65550005
checkpoints/sort_no_decay_l1_activation.pth_262,1.9899287
checkpoints/sort_no_decay_l1_activation.pth_263,0.12739639
checkpoints/sort_no_decay_l1_activation.pth_264,-0.28611445
checkpoints/sort_no_decay_l1_activation.pth_265,1.1610534
checkpoints/sort_no_decay_l1_activation.pth_266,0.46210048
checkpoints/sort_no_decay_l1_activation.pth_267,0.51286834
checkpoints/sort_no_decay_l1_activation.pth_268,0.057199482
checkpoints/sort_no_decay_l1_activation.pth_269,-1.315145
checkpoints/sort_no_decay_l1_activation.pth_270,-0.18744539
checkpoints/sort_no_decay_l1_activation.pth_271,0.20033419
checkpoints/sort_no_decay_l1_activation.pth_272,1.3890471
checkpoints/sort_no_decay_l1_activation.pth_273,0.4768046
checkpoints/sort_no_decay_l1_activation.pth_274,1.7427868
checkpoints/sort_no_decay_l1_activation.pth_275,1.017203
checkpoints/sort_no_decay_l1_activation.pth_276,0.15672816
checkpoints/sort_no_decay_l1_activation.pth_277,-0.26195857
checkpoints/sort_no_decay_l1_activation.pth_278,-0.078262724
checkpoints/sort_no_decay_l1_activation.pth_279,0.71564776
checkpoints/sort_no_decay_l1_activation.pth_280,0.6476262
checkpoints/sort_no_decay_l1_activation.pth_281,0.91069555
checkpoints/sort_no_decay_l1_activation.pth_282,1.2845701
checkpoints/sort_no_decay_l1_activation.pth_283,1.0690683
checkpoints/sort_no_decay_l1_activation.pth_284,0.32309127
checkpoints/sort_no_decay_l1_activation.pth_285,0.48741984
checkpoints/sort_no_decay_l1_activation.pth_286,0.011019572
checkpoints/sort_no_decay_l1_activation.pth_287,0.3757449
checkpoints/sort_no_decay_l1_activation.pth_288,1.8444784
checkpoints/sort_no_decay_l1_activation.pth_289,0.8879698
checkpoints/sort_no_decay_l1_activation.pth_290,-0.5125724
checkpoints/sort_no_decay_l1_activation.pth_291,1.069641
checkpoints/sort_no_decay_l1_activation.pth_292,1.871996
checkpoints/sort_no_decay_l1_activation.pth_293,2.1157372
checkpoints/sort_no_decay_l1_activation.pth_294,0.92503726
checkpoints/sort_no_decay_l1_activation.pth_295,0.9104382
checkpoints/sort_no_decay_l1_activation.pth_296,0.13989015
checkpoints/sort_no_decay_l1_activation.pth_297,-1.2301656
checkpoints/sort_no_decay_l1_activation.pth_298,0.611267
checkpoints/sort_no_decay_l1_activation.pth_299,0.122681804
checkpoints/sort_mid_decay_l1_activation.pth_30,1.3243262
checkpoints/sort_mid_decay_l1_activation.pth_31,1.6108652
checkpoints/sort_mid_decay_l1_activation.pth_32,1.4468162
checkpoints/sort_mid_decay_l1_activation.pth_33,1.9220746
